ano,mes,partido,regiao,parlamentar,descricao,valor_documento,valor_glosa,valor_liquido
2020,2,PP,Sudeste,P002,SERVIÇOS POSTAIS,184.5,0.0,184.5
2020,3,PP,Sudeste,P002,SERVIÇOS POSTAIS,457.15,0.0,457.15
2020,1,PP,Sudeste,P002,SERVIÇOS POSTAIS,35.46,0.0,35.46
2020,2,PP,Sudeste,P002,SERVIÇOS POSTAIS,35.46,0.0,35.46
2020,2,PP,Sudeste,P002,SERVIÇOS POSTAIS,72.4,0.0,72.4
2020,2,PP,Sudeste,P002,SERVIÇOS POSTAIS,9.1,0.0,9.1
2020,2,PP,Sudeste,P002,SERVIÇOS POSTAIS,54.23,0.0,54.23
2020,1,PP,Sudeste,P002,FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR,117.6,12.6,105.0
2020,2,PP,Nordeste,P003,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,157.0,0.0,157.0
2020,1,PP,Nordeste,P003,"CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS.",7500.0,0.0,7500.0
2020,1,PP,Nordeste,P003,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,7000.0,0.0,7000.0
2020,2,PP,Nordeste,P003,DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.,7000.0,0.0,7000.0
2020,1,PP,Nordeste,P003,SERVIÇO DE SEGURANÇA PRESTADO POR EMPRESA ESPECIALIZADA.,251.99,0.0,251.99
2020,1,PP,Nordeste,P003,TELEFONIA,460.28,48.5,411.78
2020,2,PP,Nordeste,P003,SERVIÇOS POSTAIS,15.55,0.0,15.55
2020,2,PP,Nordeste,P003,SERVIÇOS POSTAIS,15.55,0.0,15.55
2020,1,PP,Nordeste,P003,SERVIÇOS POSTAIS,30.53,0.0,30.53
2020,3,PP,Nordeste,P003,SERVIÇOS POSTAIS,30.53,0.0,30.53
2020,3,PP,Nordeste,P003,SERVIÇOS POSTAIS,40.26,0.0,40.26
2020,3,PP,Nordeste,P003,SERVIÇOS POSTAIS,79.02,0.0,79.02
2020,1,PP,Nordeste,P003,Emissão Bilhete Aéreo,1690.85,0.0,1690.85
2020,1,PP,Nordeste,P003,Emissão Bilhete Aéreo,940.57,0.0,940.57
2020,1,PDT,Nordeste,P004,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,257.98,0.0,257.98
2020,1,PDT,Nordeste,P004,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,279.12,0.0,279.12
2020,1,PDT,Nordeste,P004,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,190.0,0.0,190.0
2020,1,PDT,Nordeste,P004,COMBUSTÍVEIS E LUBRIFICANTES.,283.09,0.0,283.09
2020,2,PDT,Nordeste,P004,COMBUSTÍVEIS E LUBRIFICANTES.,150.0,0.0,150.0
2020,1,PDT,Nordeste,P004,COMBUSTÍVEIS E LUBRIFICANTES.,150.0,0.0,150.0
2020,1,PDT,Nordeste,P004,COMBUSTÍVEIS E LUBRIFICANTES.,135.0,0.0,135.0
2020,2,PDT,Nordeste,P004,COMBUSTÍVEIS E LUBRIFICANTES.,233.0,0.0,233.0
2020,2,PDT,Nordeste,P004,COMBUSTÍVEIS E LUBRIFICANTES.,100.0,0.0,100.0
